Extracted Name,Filename,Extracted Assets Cleaned
Adam Chambers,member_200.html,Great West Lifeco Meta Platforms Inc Microsoft Corp Walt Disney Bank of Nova Scotia iShares S&P TSX Capped Energy Index ETF Mind Medicine (MindMed) Inc Shopify Inc.
Angelo Iacono,member_68.html,Canadian Imperial Bank of Commerce - Amazon - Microsoft Corp. - Costco Wholesale Corp
Anthony Rota,member_268.html,"Cymbria Corp. jointly held with spouse. Sole ownership of vacant land located in North Bay, Ontario. Sole ownership of a rental property located in North Bay, Ontario."
Ben Lobb,member_223.html,Bank of Nova Scotia Shares of the following: - Bank of Montreal - Bank of Nova Scotia - CI Galaxy Bitcoin ETF - Fortis Inc. - Royal Bank of Canada - Suncor Energy Inc. - TC Energy Corp Cryptocurrencies: - Bitcoin
Brenda Shanahan,member_135.html,Ishares S&P/TSX 60 Index ETF / XIU Units of SPDR S&P 500 ETF Trust / SPY
Brendan Hanley,member_309.html,Adobe Inc. - BMO Aggregate Bond Index ETF - Fortis Inc. - iShares Canadian Universe Bond Index ETF - iShares Core Canadian Short Term Bond Index ETF - Vanguard Canadian Aggregate Bond Index ETF
Cheryl Gallant,member_195.html,"Apple Inc. Automatic Data Processing Inc. iShares Core S&P 500 Index ETF Loblaws Companies Ltd. Telus Corp. TFI International Inc. Shares or units, joint with spouse, of: Abbvie Inc. Alimentation Couche-Tard Amgen Inc. Apollo Global Management Inc. BCE Inc. Berkshire Hathaway Inc. Class B Blackrock Inc. Class A Boralex Inc. Class A Broadcom Inc. CVS Health Corp. Canadian Pacific Railway Ltd. Caterpillar Inc. Enbridge Inc. Fortis Inc. Home Depot Inc. iShares S&P/TSX 60 IDX ETF JPMorgan Chase & Co. Johnson & Johnson Mastercard Inc. Microsoft Corp. National Bank of Canada Royal Bank of Canada Toronto Dominion Bank Tourmaline Oil Corp. United Health Group Inc. Whitecap Resources Inc. Brookfield Infrastructure LP"
Dane Lloyd,member_143.html,Barrick Gold Corp. Shares of Baytex Energy Corp. Shares of Cineplex Inc. Shares of Crescent Point Energy Corp. Shares of Hudbay Minerals Inc. Shares of Patriot Battery Metals Shares of Solaris Resources Inc. Shares of Tamarack Valley Energy Ltd.
Dominique Vien,member_180.html,Vanguard 500 Index ETF
Don Davies,member_208.html,Bank of Nova Scotia - BCE Inc. - Johnson and Johnson - Magna International Inc. - Harvest Healthcare Leaders ETF
Don Stewart,member_334.html,BMO CANADIAN DIVIDEND ETF BMO COVERED CALL US BKS ETF CAD UNIT BMO EQUAL WEIGHT BANKS INDX ETF UNIT BMO S&P 500 INDEX ETF UNIT Shares of the following: INTACT FINANCIAL CORP. APPLE INC. SPIRIT BLOCKCHAIN CAP INC COM
Ed Fast,member_52.html,iShares Gold Trust ETF iShares S&P 500 Value ETF iShares TIPS Bond ETF iShares Canadian Real Return Bond Index ETF iShares Core Canadian Short Term Bond Index ETF
Francis Scarpaleggia,member_7.html,Bell Canada Enterprises Inc. Honeywell International Procter & Gamble CO Royal Bank of Canada
Frank Caputo,member_199.html,Amazon.com Inc.
Garnett Genuis,member_122.html,Sprott Physical Gold and Silver Trust ETF.
Gord Johns,member_102.html,Lightspeed Communications Inc.
Greg McLean,member_291.html,Altagas Ltd. - Brookfield Infrastructure Class A Subordinate Voting - Canadian Western Bank - Enbridge Inc. - Intact Financial Corp - Pan American Silver Corp - Parex Resources - Sienna Senior Living Inc. - Valeura Energy Inc. Units of: - BMO Covered Call Canadian Banks ETF - BMO Money Market Fund ETF - BMO Ultra Short-Term US Bond ETF - Global X Lithium and Battery ETF - iShares US Medical Devices ETF
Jamil Jivani,member_333.html,Vanguard Total Stock Market ETF.
Joël Godin,member_32.html,"CGI Inc. - CIBC - Royal Bank of Canada - Scotiabank Sole ownership of a rental property located in Quebec City, Quebec"
Joël Lightbound,member_187.html,Purpose Bitcoin ETF Shares of Tesla Inc. Shares of Cleanspark Inc. Bitcoin Solana Loan receivable from an individual.
John Brassard,member_28.html,Bank of Nova Scotia Bank of Montreal Toronto-Dominion Bank Enbridge Inc. TC Energy Corp.
John Williamson,member_330.html,AG Growth International Inc. Notes AIMIA Inc. ARTIS Real Estate Investment Trust Notes Allied Property Real Estate Investment Trust Apple Inc B2Gold Corp Bank of Nova Scotia BCE Inc. Birchcliff Energy Ltd. Boralex Inc. Capital Power Corp Capital Power Corp Notes Chartwell Retirement Residences Chemtrade Logistics INCM Chemtrade Logistics INCM Notes Crombie Real Estate Investment Trust ECN Capital Corp Element Fleet Enbridge Inc. Enbridge Inc. Notes Exchange Income Corp Hudbay Minerals Inc. Inergex Renewable Energy Notes JP Morgan Chase & Co. Keyera Corp Manulife Financial Corp Mullen Group Ltd. Notes National Bank of Canada Notes NFI Group Inc. Notes Northland Power Inc. North American Construction Group Ltd. North American Financial 15 Split Corp Northwest Healthcare Real Estate Investment Trust Open Text Corp Pembina Pipeline Corp Pembina Pipeline Corp Notes Premium Brands Holdings Corp Notes Smartcentres Real Estate Investment Trust Storagevault Canada Inc. Superior Plus Corp Tamarack Valley Energy Ltd. Tamarack Valley Energy Ltd. Notes Teck Resources Ltd. Toronto Dominion Bank Transcontinental Inc. Whitecap Resources Inc.
Judy Sgro,member_167.html,Bank of Nova Scotia - Enbridge - Suncor Energy Inc.
